OBJECTID,admin2Name_en,admin2Name_ar,admin2Pcode,admin2RefName,admin2AltName1_en,admin2AltName2_en,admin2AltName1_ar,admin2AltName2_ar,admin1Name_en,admin1Name_ar,admin1Pcode,admin0Name_en,admin0Name_ar,admin0Pcode,date,validOn,validTo
153,Baqim,باقم,YE2201,NA,NA,NA,NA,NA,Sa'dah,صعده,YE22,Yemen,اليمن,YE,1548979200000,1574380800000,NA
154,Barat Al Anan,برط العنان,YE1610,NA,NA,NA,NA,NA,Al Jawf,الجوف,YE16,Yemen,اليمن,YE,1548979200000,1574380800000,NA
155,Bayhan,بيحان,YE2107,NA,NA,NA,NA,NA,Shabwah,شبوه,YE21,Yemen,اليمن,YE,1548979200000,1574380800000,NA
156,Bayt Al Faqih,بيت الفقيه,YE1817,NA,NA,NA,NA,NA,Al Hodeidah,الحديده,YE18,Yemen,اليمن,YE,1548979200000,1574380800000,NA
157,Bidbadah,بدبده,YE2605,NA,NA,NA,NA,NA,Ma'rib,مارب,YE26,Yemen,اليمن,YE,1548979200000,1574380800000,NA
158,Bilad Ar Rus,بلاد الروس,YE2306,NA,NA,NA,NA,NA,Sana'a,صنعاء,YE23,Yemen,اليمن,YE,1548979200000,1574380800000,NA
159,Bilad Atta'am,بلاد الطعام,YE3101,Bilad Attaam,NA,NA,NA,NA,Raymah,ريمه,YE31,Yemen,اليمن,YE,1548979200000,1574380800000,NA
160,Brum Mayf'ah,بروم ميفع,YE1925,Brum Mayfah,NA,NA,NA,NA,Hadramawt,حضرموت,YE19,Yemen,اليمن,YE,1548979200000,1574380800000,NA
161,Bura',برع,YE1812,Bura,NA,NA,NA,NA,Al Hodeidah,الحديده,YE18,Yemen,اليمن,YE,1548979200000,1574380800000,NA
162,Dahr,دهر,YE2101,NA,NA,NA,NA,NA,Shabwah,شبوه,YE21,Yemen,اليمن,YE,1548979200000,1574380800000,NA
163,Damt,دمت,YE3002,NA,NA,NA,NA,NA,Ad Dali',الضالع,YE30,Yemen,اليمن,YE,1548979200000,1574380800000,NA
164,Dar Sa'd,دار سعد,YE2401,Dar Sad,NA,NA,NA,NA,Aden,عدن,YE24,Yemen,اليمن,YE,1548979200000,1574380800000,NA
165,Daw'an,دوعن,YE1918,Dawan,NA,NA,NA,NA,Hadramawt,حضرموت,YE19,Yemen,اليمن,YE,1548979200000,1574380800000,NA
