OBJECTID,admin3Name_es,admin3Pcode,admin3RefName,admin3AltName1_es,admin3AltName2_es,admin2Name_es,admin2Pcode,admin1Name_es,admin1Pcode,admin0Name_es,admin0Pcode,date,validOn,validTo
247,San Pedro de Tiquina,BO021702,NA,NA,NA,Manco Kapac,BO0217,La Paz,BO02,Bolivia (Estado Plurinacional de),BO,1523923200000,1589414400000,NA
248,San Rafael,BO070303,NA,NA,NA,Velasco,BO0703,Santa Cruz,BO07,Bolivia (Estado Plurinacional de),BO,1523923200000,1589414400000,NA
249,San Ramón,BO071105,San Ramon,NA,NA,Ñuflo De Chávez,BO0711,Santa Cruz,BO07,Bolivia (Estado Plurinacional de),BO,1523923200000,1589414400000,NA
250,San Ramón,BO080702,San Ramon,NA,NA,Mamoré,BO0807,Beni,BO08,Bolivia (Estado Plurinacional de),BO,1523923200000,1589414400000,NA
251,Santa Ana,BO080401,NA,NA,NA,Yacuma,BO0804,Beni,BO08,Bolivia (Estado Plurinacional de),BO,1523923200000,1589414400000,NA
252,Santa Cruz de la Sierra,BO070101,NA,NA,NA,Andrés Ibáñez,BO0701,Santa Cruz,BO07,Bolivia (Estado Plurinacional de),BO,1523923200000,1589414400000,NA
253,Santa Rosa,BO070602,NA,NA,NA,Sara,BO0706,Santa Cruz,BO07,Bolivia (Estado Plurinacional de),BO,1523923200000,1589414400000,NA
254,Santa Rosa,BO080303,NA,NA,NA,General José Ballivián,BO0803,Beni,BO08,Bolivia (Estado Plurinacional de),BO,1523923200000,1589414400000,NA
255,Santa Rosa,BO090401,NA,NA,NA,Abuná,BO0904,Pando,BO09,Bolivia (Estado Plurinacional de),BO,1523923200000,1589414400000,NA
256,Santiago de Callapa,BO020308,NA,NA,NA,Pacajes,BO0203,La Paz,BO02,Bolivia (Estado Plurinacional de),BO,1523923200000,1589414400000,NA
257,Santiago de Huari,BO041401,NA,NA,NA,Sebastián Pagador,BO0414,Oruro,BO04,Bolivia (Estado Plurinacional de),BO,1523923200000,1589414400000,NA
