OBJECTID,admin3Name_fr,admin3Pcode,admin3RefName,admin3AltName1_fr,admin3AltName2_fr,admin2Name_fr,admin2Pcode,admin1Name_fr,admin1Pcode,admin0Name_fr,admin0Pcode,date,validOn,validTo
112,Dialafara,ML010403,NA,NA,NA,Kéniéba,ML0104,Kayes,ML01,Mali (le),ML,1369958400000,1564704000000,NA
113,Dialakoro,ML030505,NA,NA,NA,Sikasso,ML0305,Sikasso,ML03,Mali (le),ML,1369958400000,1564704000000,NA
114,Dialakoroba,ML020407,NA,NA,NA,Kati,ML0204,Koulikoro,ML02,Mali (le),ML,1369958400000,1564704000000,NA
115,Dialakorodji,ML020408,NA,NA,NA,Kati,ML0204,Koulikoro,ML02,Mali (le),ML,1369958400000,1564704000000,NA
116,Diallan,ML010104,NA,NA,NA,Bafoulabe,ML0101,Kayes,ML01,Mali (le),ML,1369958400000,1564704000000,NA
117,Diallassagou,ML050203,NA,NA,NA,Bankass,ML0502,Mopti,ML05,Mali (le),ML,1369958400000,1564704000000,NA
118,Dialloube,ML050603,NA,NA,NA,Mopti,ML0506,Mopti,ML05,Mali (le),ML,1369958400000,1564704000000,NA
119,Diamnati,ML050105,NA,NA,NA,Bandiagara,ML0501,Mopti,ML05,Mali (le),ML,1369958400000,1564704000000,NA
120,Diamou,ML010303,NA,NA,NA,Kayes,ML0103,Kayes,ML01,Mali (le),ML,1369958400000,1564704000000,NA
121,Diangounté Camara,ML010202,Diangounte Camara,NA,NA,Diéma,ML0102,Kayes,ML01,Mali (le),ML,1369958400000,1564704000000,NA
122,Dianguirdé,ML010203,Dianguirde,NA,NA,Diéma,ML0102,Kayes,ML01,Mali (le),ML,1369958400000,1564704000000,NA
123,Diankabou,ML050504,NA,NA,NA,Koro,ML0505,Mopti,ML05,Mali (le),ML,1369958400000,1564704000000,NA
124,Dianké,ML060402,Dianke,NA,NA,Niafunké,ML0604,Tombouctou,ML06,Mali (le),ML,1369958400000,1564704000000,NA
125,Dianwély,ML050404,Dianwely,NA,NA,Douentza,ML0504,Mopti,ML05,Mali (le),ML,1369958400000,1564704000000,NA
126,Diaramana,ML040203,NA,NA,NA,Bla,ML0402,Ségou,ML04,Mali (le),ML,1369958400000,1564704000000,NA
127,Diarra,ML010603,NA,NA,NA,Nioro,ML0106,Kayes,ML01,Mali (le),ML,1369958400000,1564704000000,NA
128,Diaye Coura,ML010604,NA,NA,NA,Nioro,ML0106,Kayes,ML01,Mali (le),ML,1369958400000,1564704000000,NA
129,Didiéni,ML020501,Didieni,NA,NA,Kolokani,ML0205,Koulikoro,ML02,Mali (le),ML,1369958400000,1564704000000,NA
130,Dièbè,ML020205,Diebe,NA,NA,Dioila,ML0202,Koulikoro,ML02,Mali (le),ML,1369958400000,1564704000000,NA
131,Diébougou,ML020409,Diebougou,NA,NA,Kati,ML0204,Koulikoro,ML02,Mali (le),ML,1369958400000,1564704000000,NA
132,Diedougou,ML020206,NA,NA,NA,Dioila,ML0202,Koulikoro,ML02,Mali (le),ML,1369958400000,1564704000000,NA
133,Diédougou,ML030401,Diedougou,NA,NA,Koutiala,ML0304,Sikasso,ML03,Mali (le),ML,1369958400000,1564704000000,NA
134,Diédougou,ML040605,Diedougou,NA,NA,Ségou,ML0406,Ségou,ML04,Mali (le),ML,1369958400000,1564704000000,NA
135,Diéli,ML040504,Dieli,NA,NA,San,ML0405,Ségou,ML04,Mali (le),ML,1369958400000,1564704000000,NA
136,Diema,ML010204,NA,NA,NA,Diéma,ML0102,Kayes,ML01,Mali (le),ML,1369958400000,1564704000000,NA
137,Diena,ML040204,NA,NA,NA,Bla,ML0402,Ségou,ML04,Mali (le),ML,1369958400000,1564704000000,NA
138,Diéoura,ML010205,Dieoura,NA,NA,Diéma,ML0102,Kayes,ML01,Mali (le),ML,1369958400000,1564704000000,NA
