OBJECTID,admin3Name_es,admin3Pcode,admin3RefName,admin3AltName1_es,admin3AltName2_es,admin2Name_es,admin2Pcode,admin1Name_es,admin1Pcode,admin0Name_en,admin0Name_es,admin0Pcode,date,validOn,validTo
898,Carrillo,VE210404,NA,NA,NA,Candelaria,VE2104,Trujillo,VE21,Venezuela (Bolivarian Republic of),Venezuela (República Bolivariana de),VE,1525219200000,1614038400000,NA
899,Cegarra,VE210405,NA,NA,NA,Candelaria,VE2104,Trujillo,VE21,Venezuela (Bolivarian Republic of),Venezuela (República Bolivariana de),VE,1525219200000,1614038400000,NA
900,Manuel Salvador Ulloa,VE210406,NA,NA,NA,Candelaria,VE2104,Trujillo,VE21,Venezuela (Bolivarian Republic of),Venezuela (República Bolivariana de),VE,1525219200000,1614038400000,NA
901,San José,VE210407,San Jose,NA,NA,Candelaria,VE2104,Trujillo,VE21,Venezuela (Bolivarian Republic of),Venezuela (República Bolivariana de),VE,1525219200000,1614038400000,NA
902,Carache,VE210501,NA,NA,NA,Carache,VE2105,Trujillo,VE21,Venezuela (Bolivarian Republic of),Venezuela (República Bolivariana de),VE,1525219200000,1614038400000,NA
903,Cuicas,VE210502,NA,NA,NA,Carache,VE2105,Trujillo,VE21,Venezuela (Bolivarian Republic of),Venezuela (República Bolivariana de),VE,1525219200000,1614038400000,NA
904,La Concepción,VE210503,La Concepcion,NA,NA,Carache,VE2105,Trujillo,VE21,Venezuela (Bolivarian Republic of),Venezuela (República Bolivariana de),VE,1525219200000,1614038400000,NA
905,Panamericana,VE210504,NA,NA,NA,Carache,VE2105,Trujillo,VE21,Venezuela (Bolivarian Republic of),Venezuela (República Bolivariana de),VE,1525219200000,1614038400000,NA
906,Santa Cruz,VE210505,NA,NA,NA,Carache,VE2105,Trujillo,VE21,Venezuela (Bolivarian Republic of),Venezuela (República Bolivariana de),VE,1525219200000,1614038400000,NA
907,Escuque,VE210601,NA,NA,NA,Escuque,VE2106,Trujillo,VE21,Venezuela (Bolivarian Republic of),Venezuela (República Bolivariana de),VE,1525219200000,1614038400000,NA
908,La Unión,VE210602,La Union,NA,NA,Escuque,VE2106,Trujillo,VE21,Venezuela (Bolivarian Republic of),Venezuela (República Bolivariana de),VE,1525219200000,1614038400000,NA
909,Sabana Libre,VE210603,NA,NA,NA,Escuque,VE2106,Trujillo,VE21,Venezuela (Bolivarian Republic of),Venezuela (República Bolivariana de),VE,1525219200000,1614038400000,NA
910,Santa Rita,VE210604,NA,NA,NA,Escuque,VE2106,Trujillo,VE21,Venezuela (Bolivarian Republic of),Venezuela (República Bolivariana de),VE,1525219200000,1614038400000,NA
911,El Socorro,VE210701,NA,NA,NA,José Felipe Márquez Cañizal,VE2107,Trujillo,VE21,Venezuela (Bolivarian Republic of),Venezuela (República Bolivariana de),VE,1525219200000,1614038400000,NA
912,Antonio José de Sucre,VE210702,Antonio Jose de Sucre,NA,NA,José Felipe Márquez Cañizal,VE2107,Trujillo,VE21,Venezuela (Bolivarian Republic of),Venezuela (República Bolivariana de),VE,1525219200000,1614038400000,NA
913,Los Caprichos,VE210703,NA,NA,NA,José Felipe Márquez Cañizal,VE2107,Trujillo,VE21,Venezuela (Bolivarian Republic of),Venezuela (República Bolivariana de),VE,1525219200000,1614038400000,NA
914,Campo Elías,VE210801,Campo Elias,NA,NA,Juan Vicente Campo Elías,VE2108,Trujillo,VE21,Venezuela (Bolivarian Republic of),Venezuela (República Bolivariana de),VE,1525219200000,1614038400000,NA
